image_path,expected,predicted,is_correct,status
defect\0JC105636L201DH_transformed_0JC105636L201DH_green_FFF_1747130578027.png,defect,No,False,Incorrect
defect\0JC105636P202J1_transformed_0JC105636P202J1_green_FFF_1747206373834.png,defect,No,False,Incorrect
defect\0JC105639B200EE_transformed_0JC105639B200EE_green_FFF_1747134408925.png,defect,Yes,True,Correct
defect\0JC1B5922A200C0_transformed_0JC1B5922A200C0_green_FFF_1747205688916.png,defect,Yes,True,Correct
defect\0JC1B59242200TN_transformed_0JC1B59242200TN_green_FFF_1747204614697.png,defect,Yes,True,Correct
defect\12345678a_transformed_12345678a_green_FFF_1745385477081.png,defect,Yes,True,Correct
defect\123_6OA2_transformed_123_6OA2_green_FFF_1745818585340.png,defect,Yes,True,Correct
defect\156LAEKK0747D_transformed_156LAEKK0747D_green_FFF_1746608820196.png,defect,Yes,True,Correct
defect\1A4512F0SSZZZZ8300_transformed_1A4512F0SSZZZZ8300_green_FFF_1746180349825.png,defect,No,False,Incorrect
defect\1ZAF2168940N00CHM_transformed_1ZAF2168940N00CHM_green_FFF_1746514065694.png,defect,No,False,Incorrect
defect\1ZAF2228940WS094D_transformed_1ZAF2228940WS094D_green_FFF_1745302673219.png,defect,No,False,Incorrect
defect\3X3B89R2KGZZZZ8303_transformed_3X3B89R2KGZZZZ8303_green_FFF_1746607592594.png,defect,No,False,Incorrect
defect\43237349VTZZZZ319B_transformed_43237349VTZZZZ319B_green_FFF_1746783256064.png,defect,Yes,True,Correct
defect\4B1BAR74NAZZPZ3130_transformed_4B1BAR74NAZZPZ3130_green_FFF_1748410551992.png,defect,Yes,True,Correct
defect\4B1BARR71CZZZZ3130_transformed_4B1BARR71CZZZZ3130_green_FFF_1747026912294.png,defect,Yes,True,Correct
defect\4B1BASQ41AZZZZ3130_transformed_4B1BASQ41AZZZZ3130_green_FFF_1745386188997.png,defect,Yes,True,Correct
defect\4B1BASR3WBZZZZ3130_transformed_4B1BASR3WBZZZZ3130_green_FFF_1748339267583.png,defect,Yes,True,Correct
defect\4B1BAT37PQZZZZ3130_transformed_4B1BAT37PQZZZZ3130_green_FFF_1746451385929.png,defect,Yes,True,Correct
defect\4B1BAZJ8NCZZZZ3130_transformed_4B1BAZJ8NCZZZZ3130_green_FFF_1746703675779.png,defect,Yes,True,Correct
defect\4B1BBGH9RSZZZZ3130_transformed_4B1BBGH9RSZZZZ3130_green_FFF_1747040124729.png,defect,Yes,True,Correct
defect\4B2B31V0AAZZZZ3130_transformed_4B2B31V0AAZZZZ3130_green_FFF_1745382851172.png,defect,No,False,Incorrect
defect\4B2B52L2WGZZZZ3130_transformed_4B2B52L2WGZZZZ3130_green_FFF_1747034173576.png,defect,No,False,Incorrect
defect\4B2B53H1PGZZZZ3130_transformed_4B2B53H1PGZZZZ3130_green_FFF_1748409537533.png,defect,Yes,True,Correct
defect\4C4BA3P7EKZZZZ3130_transformed_4C4BA3P7EKZZZZ3130_green_FFF_1745821657996.png,defect,Yes,True,Correct
defect\4F1A65Q7E4ZZZZ40A1_transformed_4F1A65Q7E4ZZZZ40A1_green_FFF_1748265301519.png,defect,No,False,Incorrect
defect\4F2532R3HJZZZZ40R0_transformed_4F2532R3HJZZZZ40R0_green_FFF_1745305183370.png,defect,No,False,Incorrect
defect\4G1A71J9BWZZZZ40A1_transformed_4G1A71J9BWZZZZ40A1_green_FFF_1745402575982.png,defect,No,False,Incorrect
defect\4G1A8555FLZZZZ40A1_transformed_4G1A8555FLZZZZ40A1_green_FFF_1746514005315.png,defect,Yes,True,Correct
defect\4H1AB348TLZZZZ40A1_transformed_4H1AB348TLZZZZ40A1_green_FFF_1746773729635.png,defect,No,False,Incorrect
defect\4H2A3A663UZZZZ40A1_transformed_4H2A3A663UZZZZ40A1_green_FFF_1748329767401.png,defect,No,False,Incorrect
defect\4L1AC1H1SMZZZZ40T2_transformed_4L1AC1H1SMZZZZ40T2_green_FFF_1745302385781.png,defect,Yes,True,Correct
defect\4U2A93X8DCZZZZ40A1_transformed_4U2A93X8DCZZZZ40A1_green_FFF_1745314125050.png,defect,No,False,Incorrect
defect\4U2AB3U5RNZZZZ40A1_transformed_4U2AB3U5RNZZZZ40A1_green_FFF_1748329172726.png,defect,Yes,True,Correct
defect\4WAF2458B32N00A4Y_transformed_4WAF2458B32N00A4Y_green_FFF_1747981316841.png,defect,Yes,True,Correct
defect\5C3AC7M2YPZZZZ40AQ_transformed_5C3AC7M2YPZZZZ40AQ_green_FFF_1746178854263.png,defect,No,False,Incorrect
defect\5e3bcuy1lszzzrs260_transformed_5e3bcuy1lszzzrs260_green_FFF_1747826863240.png,defect,No,False,Incorrect
defect\5E4B1N78XKZZZS0160_transformed_5E4B1N78XKZZZS0160_green_FFF_1745906647248.png,defect,No,False,Incorrect
defect\5RAF2128940V02F4B_transformed_5RAF2128940V02F4B_green_FFF_1746608581009.png,defect,Yes,True,Correct
defect\5TAF2228D30V02499_transformed_5TAF2228D30V02499_green_FFF_1747109577708.png,defect,Yes,True,Correct
defect\5TAF23Y8D30000D2A_transformed_5TAF23Y8D30000D2A_green_FFF_1747649640618.png,defect,Yes,True,Correct
defect\5ZAF2158B30S00F8W_transformed_5ZAF2158B30S00F8W_green_FFF_1746680271229.png,defect,Yes,True,Correct
defect\5ZAF2188B30S00GVP_transformed_5ZAF2188B30S00GVP_green_FFF_1746685493609.png,defect,Yes,True,Correct
defect\5ZAF21X8B30S008VM_transformed_5ZAF21X8B30S008VM_green_FFF_1745303048101.png,defect,No,False,Incorrect
defect\5ZAF21X8B30WN0MFZ_transformed_5ZAF21X8B30WN0MFZ_green_FFF_1746680017140.png,defect,Yes,True,Correct
defect\5ZAF21X8B30WN19FZ_transformed_5ZAF21X8B30WN19FZ_green_FFF_1745404540975.png,defect,Yes,True,Correct
defect\5ZAF21Y8B30S00ATA_transformed_5ZAF21Y8B30S00ATA_green_FFF_1747199011304.png,defect,Yes,True,Correct
defect\5ZAF21Z8B30WN0ATS_transformed_5ZAF21Z8B30WN0ATS_green_FFF_1745401960028.png,defect,No,False,Incorrect
defect\5ZAF21Z8B30WS05PT_transformed_5ZAF21Z8B30WS05PT_green_FFF_1745404307764.png,defect,Yes,True,Correct
defect\5ZAF21Z8B30WS07N2_transformed_5ZAF21Z8B30WS07N2_green_FFF_1747811798610.png,defect,Yes,True,Correct
defect\5ZAF2218B30WN08LD_transformed_5ZAF2218B30WN08LD_green_FFF_1747811715726.png,defect,Yes,True,Correct
defect\5ZAF2218B30WS199W_transformed_5ZAF2218B30WS199W_green_FFF_1745401683839.png,defect,Yes,True,Correct
defect\5ZAF2248B300000HK_transformed_5ZAF2248B300000HK_green_FFF_1746680541715.png,defect,Yes,True,Correct
defect\5ZAF2248B30N008DT_transformed_5ZAF2248B30N008DT_green_FFF_1746685423647.png,defect,Yes,True,Correct
defect\5ZAF2248B30N009L4_transformed_5ZAF2248B30N009L4_green_FFF_1745401831236.png,defect,Yes,True,Correct
defect\5ZAF2338B30WS0742_transformed_5ZAF2338B30WS0742_green_FFF_1746680819470.png,defect,Yes,True,Correct
defect\5ZAF2338B30WS0G9Y_transformed_5ZAF2338B30WS0G9Y_green_FFF_1746774942669.png,defect,Yes,True,Correct
defect\5ZAF2348B30WS09DM_transformed_5ZAF2348B30WS09DM_green_FFF_1745241396475.png,defect,Yes,True,Correct
defect\6N2B4Q781RZZZ30B01_transformed_6N2B4Q781RZZZ30B01_green_FFF_1748249991489.png,defect,No,False,Incorrect
defect\6N3BAKQ0XQZZZ30B01_transformed_6N3BAKQ0XQZZZ30B01_green_FFF_1745822401767.png,defect,No,False,Incorrect
defect\6N3BAPZ0WKZZZ30B01_transformed_6N3BAPZ0WKZZZ30B01_green_FFF_1746434655310.png,defect,No,False,Incorrect
defect\7YAF24289400002WY_transformed_7YAF24289400002WY_green_FFF_1747805217293.png,defect,No,False,Incorrect
defect\7YAF2428940000384_transformed_7YAF2428940000384_green_FFF_1747805533630.png,defect,Yes,True,Correct
defect\7YAF2428940000XCH_transformed_7YAF2428940000XCH_green_FFF_1747808451060.png,defect,No,False,Incorrect
defect\7YAF24389400008WP_transformed_7YAF24389400008WP_green_FFF_1747808140489.png,defect,No,False,Incorrect
defect\8S5D10Q11723A1FW0CG1GZ9_transformed_8S5D10Q11723A1FW0CG1GZ9_green_FFF_1747742124732.png,defect,Yes,True,Correct
defect\8S5D10Q11723A1FW15A1LBF_transformed_8S5D10Q11723A1FW15A1LBF_green_FFF_1747742002434.png,defect,Yes,True,Correct
defect\8S5D10Q11723A1FW15E1M0G_transformed_8S5D10Q11723A1FW15E1M0G_green_FFF_1747740893939.png,defect,No,False,Incorrect
defect\8S5D10R41287B2CQ26KX4PV_transformed_8S5D10R41287B2CQ26KX4PV_green_FFF_1745836116543.png,defect,No,False,Incorrect
defect\8SSD10M34138C1NB22PT2MJ_transformed_8SSD10M34138C1NB22PT2MJ_green_FFF_1747743651922.png,defect,No,False,Incorrect
defect\8SSD10M34138C1NB27KT0H9_transformed_8SSD10M34138C1NB27KT0H9_green_FFF_1747735661370.png,defect,Yes,True,Correct
defect\8SSD10M34154A1RW15PX11R_transformed_8SSD10M34154A1RW15PX11R_green_FFF_1745318229145.png,defect,Yes,True,Correct
defect\8SSD10M34154A1RW19HX07L_transformed_8SSD10M34154A1RW19HX07L_green_FFF_1747740426189.png,defect,Yes,True,Correct
defect\8SSD10M34154A1RW1B7X036_transformed_8SSD10M34154A1RW1B7X036_green_FFF_1746178037518.png,defect,No,False,Incorrect
defect\8SSD10M34154A1RW1B7X06H_transformed_8SSD10M34154A1RW1B7X06H_green_FFF_1747307440632.png,defect,No,False,Incorrect
defect\8SSD10M34154A1RW1BJX4VH_transformed_8SSD10M34154A1RW1BJX4VH_green_FFF_1746427762543.png,defect,Yes,True,Correct
defect\8SSD10M34154A1RW1BNX17D_transformed_8SSD10M34154A1RW1BNX17D_green_FFF_1746704346511.png,defect,No,False,Incorrect
defect\8SSD10M34154A1RW1BNX23R_transformed_8SSD10M34154A1RW1BNX23R_green_FFF_1747307808041.png,defect,Yes,True,Correct
defect\8SSD10M34154A1RW1CPX3KA_transformed_8SSD10M34154A1RW1CPX3KA_green_FFF_1745479079963.png,defect,No,False,Incorrect
defect\8SSD10M34154A1RW1CSX353_transformed_8SSD10M34154A1RW1CSX353_green_FFF_1745478945976.png,defect,Yes,True,Correct
defect\8SSD10M34154A1RW215X074_transformed_8SSD10M34154A1RW215X074_green_FFF_1746526056678.png,defect,Yes,True,Correct
defect\8SSD10M34154A1RW217X0X5_transformed_8SSD10M34154A1RW217X0X5_green_FFF_1747141284769.png,defect,Yes,True,Correct
defect\8SSD10M34154A1RW21GX0L1_transformed_8SSD10M34154A1RW21GX0L1_green_FFF_1745320386152.png,defect,Yes,True,Correct
defect\8SSD10M34154A1RW269X1DX_transformed_8SSD10M34154A1RW269X1DX_green_FFF_1745907410616.png,defect,No,False,Incorrect
defect\8SSD10Q66921A1FW17J1HHC_transformed_8SSD10Q66921A1FW17J1HHC_green_FFF_1747137570819.png,defect,Yes,True,Correct
defect\8SSD10Q66921A1FW17K1GXT_transformed_8SSD10Q66921A1FW17K1GXT_green_FFF_1745836711914.png,defect,No,False,Incorrect
defect\8SSD10Q66921A1FW17K1HX4_transformed_8SSD10Q66921A1FW17K1HX4_green_FFF_1747741771954.png,defect,Yes,True,Correct
defect\8SSD10Q66923B1CH124V5D6_transformed_8SSD10Q66923B1CH124V5D6_green_FFF_1747137444380.png,defect,Yes,True,Correct
defect\8SSD10Q66923B1CH19SV378_transformed_8SSD10Q66923B1CH19SV378_green_FFF_1745838353136.png,defect,Yes,True,Correct
defect\8SSD10Q66923B1CH1ATV0GM_transformed_8SSD10Q66923B1CH1ATV0GM_green_FFF_1745838407666.png,defect,Yes,True,Correct
defect\8SSD10Q66923B1CH1BLV280_transformed_8SSD10Q66923B1CH1BLV280_green_FFF_1747140780203.png,defect,Yes,True,Correct
defect\8SSD10W87244A1CS26MY23S_transformed_8SSD10W87244A1CS26MY23S_green_FFF_1746772090078.png,defect,Yes,True,Correct
defect\8SSD11C18142C1NB15VN2C0_transformed_8SSD11C18142C1NB15VN2C0_green_FFF_1747647883789.png,defect,Yes,True,Correct
defect\8SSD11J61824C1NB475T1RJ_transformed_8SSD11J61824C1NB475T1RJ_green_FFF_1747290454083.png,defect,Yes,True,Correct
defect\cfasf01at9l6s6_transformed_cfasf01at9l6s6_green_FFF_1747372200055.png,defect,Yes,True,Correct
defect\CJUXV01XPG67N4_transformed_CJUXV01XPG67N4_green_FFF_1747113608115.png,defect,Yes,True,Correct
defect\DTB1930425DD738010A1W_EH79_transformed_DTB1930425DD738010A1W_EH79_green_FFF_1747283784440.png,defect,Yes,True,Correct
defect\J34A7A53TLZZZS06T2_transformed_J34A7A53TLZZZS06T2_green_FFF_1747025538348.png,defect,Yes,True,Correct
defect\NJA0111UN02104169_transformed_NJA0111UN02104169_green_FFF_1745304511939.png,defect,Yes,True,Correct
defect\NJB0116LN82103766_transformed_NJB0116LN82103766_green_FFF_1745818797295.png,defect,Yes,True,Correct
defect\NSN00RPX010520250100_transformed_NSN00RPX010520250100_green_FFF_1746426156423.png,defect,Yes,True,Correct
defect\NSN6YXV9300420250170_transformed_NSN6YXV9300420250170_green_FFF_1746426574763.png,defect,Yes,True,Correct
defect\P6A323Y3B31000ML8_transformed_P6A323Y3B31000ML8_green_FFF_1747731417858.png,defect,Yes,True,Correct
defect\RLI48775_transformed_RLI48775_green_FFF_1747372073196.png,defect,No,True,Analysis Error
defect\RRA323Y3XE000056N_transformed_RRA323Y3XE000056N_green_FFF_1747800197792.png,defect,Yes,True,Correct
defect\STAF2138D37S002MA_transformed_STAF2138D37S002MA_green_FFF_1748406758306.png,defect,Yes,True,Correct
defect\ZET3MIN133FM61210126_transformed_ZET3MIN133FM61210126_green_FFF_1748252966333.png,defect,Yes,True,Correct
no_defect\0FC106K12A2005J_transformed_0FC106K12A2005J_green_FFF_1746450040016.png,no_defect,Yes,False,Incorrect
no_defect\140J9EKT00344_transformed_140J9EKT00344_green_FFF_1747371242490.png,no_defect,No,True,Correct
no_defect\140L7EKK0FBGN_transformed_140L7EKK0FBGN_green_FFF_1746773059045.png,no_defect,No,True,Correct
no_defect\140M1EKT02C16_transformed_140M1EKT02C16_green_FFF_1745386842888.png,no_defect,Yes,False,Incorrect
no_defect\140N9EUK04JJ3_transformed_140N9EUK04JJ3_green_FFF_1746780671919.png,no_defect,No,True,Correct
no_defect\140P1EKK00A25_transformed_140P1EKK00A25_green_FFF_1745919081094.png,no_defect,Yes,False,Incorrect
no_defect\140P1EKT00VFG_transformed_140P1EKT00VFG_green_FFF_1747283421843.png,no_defect,Yes,False,Incorrect
no_defect\4B1BAMN6YFZZZZ3130_transformed_4B1BAMN6YFZZZZ3130_green_FFF_1747039527027.png,no_defect,Yes,False,Incorrect
no_defect\4B1BAND4RPZZZZ3130_transformed_4B1BAND4RPZZZZ3130_green_FFF_1747031235027.png,no_defect,No,True,Correct
no_defect\4B1BASR3MCZZZZ3130_transformed_4B1BASR3MCZZZZ3130_green_FFF_1746594453503.png,no_defect,No,True,Correct
no_defect\4B2B52L2WGZZZZ3130_transformed_4B2B52L2WGZZZZ3130_green_FFF_1747034173576.png,no_defect,No,True,Correct
no_defect\4C3B75J34TZZNZ319B_transformed_4C3B75J34TZZNZ319B_green_FFF_1747034390569.png,no_defect,Yes,False,Incorrect
no_defect\604B2MZ4DTZZZS0101_transformed_604B2MZ4DTZZZS0101_green_FFF_1745822693920.png,no_defect,Yes,False,Incorrect
no_defect\8SSD10R26719C1NB0A8T1YJ_transformed_8SSD10R26719C1NB0A8T1YJ_green_FFF_1747741270677.png,no_defect,Yes,False,Incorrect
no_defect\8SSD10R26719C1NB1APT0DV_transformed_8SSD10R26719C1NB1APT0DV_green_FFF_1747736520798.png,no_defect,Yes,False,Incorrect
no_defect\8SSD10Z26829A1FW1CG1J3W_transformed_8SSD10Z26829A1FW1CG1J3W_green_FFF_1745318685415.png,no_defect,Yes,False,Incorrect
no_defect\8SSD10Z26829A1FW23W1JPJ_transformed_8SSD10Z26829A1FW23W1JPJ_green_FFF_1745835822338.png,no_defect,Yes,False,Incorrect
no_defect\8SSD10Z26829A1FW23X1H3Y_transformed_8SSD10Z26829A1FW23X1H3Y_green_FFF_1746428697687.png,no_defect,No,True,Correct
no_defect\8SSD11C18142C1NB14JN2B6_transformed_8SSD11C18142C1NB14JN2B6_green_FFF_1747305874454.png,no_defect,No,True,Correct
no_defect\8SSD11C18142C1NB14LN05D_transformed_8SSD11C18142C1NB14LN05D_green_FFF_1745925539458.png,no_defect,No,True,Correct
no_defect\8SSD11F30431A1RW22301AL_transformed_8SSD11F30431A1RW22301AL_green_FFF_1747393634851.png,no_defect,No,True,Correct
no_defect\8SSD11K06190A2FW3B8SSD10W69522C1NB24WT4YTD1LRT_transformed_8SSD11K06190A2FW3B8SSD10W69522C1NB24WT4YTD1LRT_green_FFF_1747140918536.png,no_defect,No,True,Correct
no_defect\A1158AK7MMZZZZ3130_transformed_A1158AK7MMZZZZ3130_green_FFF_1745385812010.png,no_defect,Yes,False,Incorrect
no_defect\A1158AK7MMZZZZ3130_XX0D_transformed_A1158AK7MMZZZZ3130_XX0D_green_FFF_1745396664487.png,no_defect,Yes,False,Incorrect
no_defect\A1354CG9HWZZZZ3130_transformed_A1354CG9HWZZZZ3130_green_FFF_1746449922511.png,no_defect,Yes,False,Incorrect
no_defect\cfasf01at9l6s6_transformed_cfasf01at9l6s6_green_FFF_1747372200055.png,no_defect,Yes,False,Incorrect
no_defect\CN03WD4FWSL00229CJWL_transformed_CN03WD4FWSL00229CJWL_green_FFF_1747644148702.png,no_defect,No,True,Correct
no_defect\CN0767MFFCC0044GCFMX_transformed_CN0767MFFCC0044GCFMX_green_FFF_1746774995913.png,no_defect,Yes,False,Incorrect
no_defect\CN07D4G6FCC0026OADPX_transformed_CN07D4G6FCC0026OADPX_green_FFF_1746790333469.png,no_defect,No,True,Correct
no_defect\CN0D5MVFRYSAU1BO01Q0A00_transformed_CN0D5MVFRYSAU1BO01Q0A00_green_FFF_1746678941536.png,no_defect,No,True,Correct
no_defect\CN0DJV6TQDC003AS0I4L_transformed_CN0DJV6TQDC003AS0I4L_green_FFF_1746771642353.png,no_defect,No,True,Correct
no_defect\CN0FC3KKCMK0048F01AE_transformed_CN0FC3KKCMK0048F01AE_green_FFF_1746161949491.png,no_defect,No,True,Correct
no_defect\CN0XHFXPFCC004BEC18X_transformed_CN0XHFXPFCC004BEC18X_green_FFF_1747030896167.png,no_defect,Yes,False,Incorrect
no_defect\DRG3Y04719CC616010AHB_transformed_DRG3Y04719CC616010AHB_green_FFF_1745814109142.png,no_defect,No,True,Correct
no_defect\DTB1917714LL838010A1W_transformed_DTB1917714LL838010A1W_green_FFF_1746608017589.png,no_defect,No,True,Correct
no_defect\DTB4501125JJ703010A1B_transformed_DTB4501125JJ703010A1B_green_FFF_1745818999520.png,no_defect,Yes,False,Incorrect
no_defect\H2AM2428RA0XS01DE_RLCF_transformed_H2AM2428RA0XS01DE_RLCF_green_FFF_1746786919960.png,no_defect,No,True,Correct
no_defect\J62A917132ZZZZ40A1_transformed_J62A917132ZZZZ40A1_green_FFF_1745328322069.png,no_defect,No,True,Correct
no_defect\NJB011CBN82102169_transformed_NJB011CBN82102169_green_FFF_1746682758422.png,no_defect,No,True,Correct
no_defect\NSN4D22M060520250119_transformed_NSN4D22M060520250119_green_FFF_1746681050929.png,no_defect,No,True,Correct
no_defect\NSN54R95020520250129_transformed_NSN54R95020520250129_green_FFF_1746426386031.png,no_defect,No,True,Correct
no_defect\P6A32333B31000Z5T_transformed_P6A32333B31000Z5T_green_FFF_1745483587657.png,no_defect,Yes,False,Incorrect
no_defect\P6A32393B3100157V_transformed_P6A32393B3100157V_green_FFF_1745322305421.png,no_defect,No,True,Correct
no_defect\P6A32443B31004C0Y_transformed_P6A32443B31004C0Y_green_FFF_1745316736762.png,no_defect,Yes,False,Incorrect
no_defect\V23AA8F7MCZZZ30BAA_transformed_V23AA8F7MCZZZ30BAA_green_FFF_1745586681206.png,no_defect,No,True,Correct
no_defect\V23AA9M9A5ZZZ30BAA_transformed_V23AA9M9A5ZZZ30BAA_green_FFF_1747026639734.png,no_defect,Yes,False,Incorrect
no_defect\V24A16C5YGZZZ30BAA_transformed_V24A16C5YGZZZ30BAA_green_FFF_1747028231387.png,no_defect,No,True,Correct
no_defect\V24A80B5DYZZZ30BAA_transformed_V24A80B5DYZZZ30BAA_green_FFF_1745586196536.png,no_defect,No,True,Correct
no_defect\V24A80B5DYZZZ30BAA_Y32L_transformed_V24A80B5DYZZZ30BAA_Y32L_green_FFF_1745586355761.png,no_defect,No,True,Correct
no_defect\V44A2567NFZZZZ40A1_transformed_V44A2567NFZZZZ40A1_green_FFF_1745907135849.png,no_defect,No,True,Correct
